item_id,customer_id
234342,362
234406,362
234333,362
234329,370
234350,370
234415,370
234357,421
234337,421
234362,421
234408,421
234341,421
234335,374
234333,374
234339,374
234339,374
234356,379
234424,379
234328,379
234332,379
234333,379
234418,342
234424,350
234368,350
234370,405
234396,405
234332,405
234398,405
234380,395
234354,395
234336,395
234420,395
234330,395
234333,401
234335,352
234381,329
234407,329
234331,329
234402,338
234377,338
234343,367
234392,367
234402,367
234409,367
234414,347
234421,347
234397,347
234380,347
234357,347
234384,368
234392,368
234404,368
234336,368
234326,368
234395,325
234341,325
234379,325
234410,325
234400,342
234325,342
234334,342
234401,342
234384,355
234384,397
234389,397
234384,391
234354,343
234336,370
234361,370
234421,370
234374,330
234399,379
234402,344
234347,360
234354,325
234369,325
234377,325
234415,419
234353,419
234334,419
234338,380
234405,380
234368,380
234377,380
234363,357
234417,357
234422,357
234343,364
234333,364
234415,364
234419,364
234340,376
234409,376
234364,376
234356,376
234352,336
234332,336
234347,405
234343,405
234408,405
234424,371
234423,371
234395,402
234343,397
234332,397
234420,397
234328,355
234334,335
234394,335
234332,416
234387,416
234403,416
234393,416
234385,416
234351,338
234407,328
234394,328
234360,328
234330,328
234390,328
234329,418
234416,418
234422,418
234396,418
234335,418
234370,367
234402,367
234416,367
234349,367
234422,367
234368,404
234330,404
234374,404
234372,413
234419,413
234378,385
234346,385
234403,385
234343,352
234418,363
234417,415
234394,415
234372,415
234349,415
234347,415
234358,387
234418,408
234384,408
234365,356
234416,356
234375,333
234368,333
234340,333
234384,333
234411,378
234387,378
234341,378
234368,339
234332,339
234359,339
234346,339
234337,336
234335,336
234414,336
234340,336
234421,406
234356,406
234362,361
234419,361
234420,338
234416,404
234377,404
234385,404
234396,404
234326,391
234385,391
234391,391
234339,391
234351,334
234328,334
234391,334
234361,334
234336,389
234356,342
234374,342
234400,384
234415,384
234400,384
234328,405
234384,405
234329,405
234394,405
234402,405
234355,394
234334,394
234355,394
234422,394
234401,394
234403,370
234417,327
234353,327
234341,327
234337,327
234379,334
234373,396
234387,396
234413,396
234409,396
234400,407
234372,407
234412,407
234344,407
234384,340
234402,405
234412,405
234325,414
234361,414
234397,414
234386,391
234343,391
234327,391
234398,391
234404,391
234394,348
234359,348
234385,348
234387,348
234364,330
234347,330
234397,330
234359,330
234331,330
234353,422
234345,422
234398,422
234346,387
234335,387
234388,387
234408,387
234342,337
234396,384
234394,356
234325,416
234389,416
234338,416
234343,416
234376,356
234401,382
234406,382
234398,382
234337,348
234417,348
234424,348
234390,338
234421,338
234398,390
234384,390
234378,390
234386,390
234366,388
234338,388
234423,388
234331,388
234377,388
234354,417
234406,417
234329,417
234351,417
234338,417
234397,381
234387,383
234375,383
234423,383
234357,383
234341,383
234345,404
234392,404
234327,404
234335,404
234402,404
234385,357
234330,357
234419,357
234403,357
234373,357
234421,361
234331,361
234399,361
234422,412
234354,344
234389,344
234396,344
